molecule_chembl_id,canonical_smiles,standard_value,pIC50,NumAromaticRings,LogP,MolecularWeight,NumHDonors,NumHAcceptors
CHEMBL359570,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,0.33,9.481486060122112,3,4.167200000000003,375.47200000000015,1,4
CHEMBL534932,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl.Cl,0.33,9.481486060122112,4,11.019399999999985,666.1810000000003,2,4
CHEMBL538573,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl.Cl,0.33,9.481486060122112,4,11.282699999999982,686.599,2,4
CHEMBL359570,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,0.33,9.481486060122112,3,4.167200000000003,375.47200000000015,1,4
CHEMBL3605361,C[n+]1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2c[n+](C)ccc21.[I-].[I-],0.33,9.481486060122112,6,0.990300000000002,744.5030000000003,0,2
CHEMBL329012,O=C(O)/C=C\C(=O)O.O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,0.33,9.481486060122112,3,3.8790000000000022,491.54400000000027,3,6
CHEMBL359570,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,0.3311,9.480040819247932,3,4.167200000000003,375.47200000000015,1,4
CHEMBL5266033,COc1cc(/C=C/c2nnc(-c3ccc(Cl)cc3)o2)ccc1O,0.334,9.476253533188435,3,4.274600000000003,328.75500000000005,1,5
CHEMBL557155,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl.Cl,0.34,9.468521082957745,4,10.629299999999988,652.1540000000003,2,4
CHEMBL2019038,COc1cc(OC)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1.Cl,0.35,9.455931955649724,4,8.275100000000005,656.6510000000001,2,7
CHEMBL555300,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)[C@@H](C)c2ccccc2OC)=CC1=O)[C@H](C)c1ccccc1OC,0.36,9.443697499232712,2,7.389400000000009,660.9440000000003,2,8
CHEMBL4165327,COc1cc2c(cc1OC)C(=O)C(Cc1cc[n+](Cc3ccccc3)cc1Br)C2.[Br-],0.36,9.443697499232712,3,1.4038000000000002,533.2600000000001,0,3
CHEMBL450553,CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC,0.37,9.431798275933005,4,8.21400000000001,760.9760000000003,0,8
CHEMBL5440753,Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],0.4,9.397940008672037,3,4.070940000000003,692.6760000000003,0,10
CHEMBL32823,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,0.4,9.397940008672037,4,8.015100000000007,492.7110000000004,2,4
CHEMBL539599,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl.Cl,0.4,9.397940008672037,4,11.672799999999981,700.626,2,4
